q,jpeg_diff,jpeg_size,webp_diff,webp_size,avif_diff,avif_size
1,29.7196,0.6420612813370473,14.5472,0.6072423398328691,23.7774,0.7506963788300836
2,29.7303,0.6420612813370473,13.434,0.6128133704735376,23.7774,0.7506963788300836
3,26.8472,0.6467038068709378,11.7744,0.6155988857938719,20.9706,0.7567316620241411
4,24.0981,0.6536675951717734,11.6632,0.6183844011142061,20.2974,0.7581244196843082
5,22.7154,0.6573816155988857,11.3396,0.6220984215413184,20.2974,0.7581244196843082
6,20.6856,0.6648096564531105,10.4636,0.6267409470752089,17.9333,0.7613741875580315
7,19.8445,0.6717734447539462,10.3803,0.6304549675023212,17.9333,0.7613741875580315
8,18.72,0.6778087279480037,10.4184,0.6323119777158774,17.0947,0.7650882079851439
9,18.1144,0.6829155060352832,9.64162,0.6341689879294337,15.8219,0.7674094707520891
10,17.5026,0.6843082636954503,9.75493,0.6350974930362117,15.8219,0.7674094707520891
11,16.7918,0.6875580315691736,9.51868,0.6360259981429898,14.8876,0.7725162488393686
12,16.2109,0.6935933147632312,8.83486,0.6388115134633241,14.4602,0.7725162488393686
13,15.373,0.6982358402971216,9.05933,0.6397400185701021,14.4602,0.7725162488393686
14,14.88,0.702414113277623,8.82735,0.6443825441039925,13.1727,0.7753017641597029
15,14.47,0.7079851439182916,8.31785,0.6443825441039925,13.1727,0.7753017641597029
16,14.0136,0.7121634168987929,7.97048,0.649025069637883,11.0975,0.7822655524605385
17,13.4544,0.7163416898792944,7.62664,0.6480965645311049,10.8552,0.7841225626740947
18,13.2213,0.7200557103064067,7.72622,0.649025069637883,10.8552,0.7841225626740947
19,12.914,0.7223769730733519,7.72278,0.6508820798514392,9.98777,0.7892293407613742
20,12.6072,0.7251624883936861,7.54053,0.6527390900649953,9.48176,0.7929433611884865
21,12.5387,0.7256267409470752,7.16841,0.6536675951717734,9.48176,0.7929433611884865
22,12.3439,0.7279480037140205,7.33236,0.6536675951717734,8.97852,0.7929433611884865
23,11.7039,0.733983286908078,7.34393,0.6564531104921077,8.97852,0.7929433611884865
24,11.6476,0.7358402971216341,6.8729,0.659238625812442,8.74393,0.8008356545961003
25,11.2815,0.7390900649953575,6.88643,0.6601671309192201,8.25716,0.7999071494893222
26,10.925,0.7400185701021356,6.3266,0.6620241411327762,8.25716,0.7999071494893222
27,10.9552,0.7437325905292479,6.35172,0.6638811513463324,7.65412,0.8003714020427113
28,10.4819,0.7460538532961931,6.15875,0.6648096564531105,7.0624,0.8068709377901578
29,10.4059,0.7483751160631383,6.38225,0.6648096564531105,7.0624,0.8068709377901578
30,10.2625,0.7511606313834726,6.31165,0.6657381615598886,6.79232,0.8068709377901578
31,10.2104,0.7525533890436398,5.97137,0.6685236768802229,6.18622,0.8133704735376045
32,9.92046,0.755338904363974,5.83695,0.6703806870937791,6.18622,0.8133704735376045
33,9.90234,0.7599814298978644,5.7681,0.6722376973073352,6.18734,0.8161559888579387
34,9.85473,0.7604456824512534,5.82795,0.6731662024141133,6.18734,0.8161559888579387
35,9.83937,0.7627669452181987,5.66809,0.6740947075208914,5.66138,0.8203342618384402
36,9.62679,0.7641597028783659,5.62053,0.6750232126276694,5.3376,0.8235840297121634
37,9.38493,0.7664809656453111,5.78484,0.6796657381615598,5.3376,0.8235840297121634
38,9.19817,0.7697307335190343,5.69245,0.6778087279480037,5.14769,0.8245125348189415
39,9.0154,0.7715877437325905,5.54153,0.6796657381615598,4.7525,0.8333333333333334
40,9.0331,0.7729805013927576,5.37823,0.6815227483751161,4.7525,0.8333333333333334
41,8.84442,0.7753017641597029,5.45197,0.6796657381615598,4.39574,0.8337975858867224
