q,jpeg_diff,jpeg_size,webp_diff,webp_size,avif_diff,avif_size
1,31.6931,0.022120190086315616,18.8312,0.047021586716278985,24.0931,0.018437211918563772
2,31.6907,0.02213358273419835,17.9501,0.05147687424526849,24.0931,0.018437211918563772
3,31.2137,0.02439247601041948,17.4334,0.05463753914559371,22.109,0.021167079978661046
4,29.202,0.028914726778822654,16.9622,0.05751695844038151,20.8882,0.023412580606999443
5,26.9644,0.03466910115243735,16.5971,0.06012406056155373,20.8882,0.023412580606999443
6,25.1516,0.04043017184999342,16.3556,0.06178028468305183,19.8736,0.025675938099181485
7,23.829,0.045805087866930654,16.046,0.06400792844754657,19.8736,0.025675938099181485
8,22.866,0.050970185733705056,15.7724,0.06594539817458209,18.981,0.027575461990549256
9,22.0898,0.05615090835634265,15.4922,0.067914117413344,18.3514,0.02957989495699844
10,21.4704,0.060597267453410326,15.2256,0.07023550971301788,18.3514,0.02957989495699844
11,20.8849,0.0647266672172533,15.0294,0.07216405100813157,17.7547,0.0314548656605812
12,20.4558,0.06846321597653608,14.9309,0.07345420942083494,17.2556,0.03337224641579261
13,20.0853,0.07251895617702402,14.6193,0.07588274290357071,17.2556,0.03337224641579261
14,19.7319,0.07597202722278892,14.4401,0.0771818297481959,16.716,0.03523159236351218
15,19.3943,0.07967286225438441,14.2784,0.07906126466773956,16.716,0.03523159236351218
16,19.1223,0.08316387913581708,14.2102,0.08086034369998683,16.2945,0.03695924394038486
17,18.8564,0.08640043570747778,14.1064,0.0821505021126902,15.9383,0.03889894577540083
18,18.5962,0.0897173481664349,13.9349,0.08407457919184298,15.9383,0.03889894577540083
19,18.4147,0.09260123167718362,13.8398,0.08523973955764085,15.5315,0.040878825554065
20,18.2365,0.09535118870910499,13.7159,0.0868781068152953,15.214,0.04307968402279429
21,18.0314,0.09861229846855071,13.4271,0.08907896528402458,15.214,0.04307968402279429
22,17.8801,0.1012506501014493,13.3094,0.0909003653960764,14.8933,0.044838585111393346
23,17.7162,0.10399391080942931,13.201,0.09265926648467546,14.8933,0.044838585111393346
24,17.5779,0.10695815020747444,13.1371,0.09350746751724862,14.5555,0.047206851678656805
25,17.4239,0.10968801826757171,12.9319,0.0951949411504731,14.2379,0.04938092485162062
26,17.2914,0.11230628092864621,12.8262,0.09675741673679206,14.2379,0.04938092485162062
27,17.1305,0.11494240045356434,12.72,0.09865470852017937,13.9856,0.05173356666302089
28,17.0125,0.11775039229297757,12.6284,0.10035557480128658,13.7512,0.053865229784356046
29,16.901,0.11987535909037135,12.5527,0.10246268473483673,13.7512,0.053865229784356046
30,16.7717,0.12261415558239046,12.4379,0.10379748530714922,13.5083,0.05667322162376927
31,16.6606,0.12483287091496338,12.3148,0.10630191046122048,13.2905,0.059557105134517986
32,16.5424,0.12715203110665682,12.2389,0.10754296249835382,13.2905,0.059557105134517986
33,16.4258,0.1297658295517704,12.1787,0.10823045175633417,13.1539,0.06308160363565748
34,16.329,0.1315983902037245,12.09,0.11091344554884187,13.1539,0.06308160363565748
35,16.2205,0.13440414993515726,12.0004,0.11219467552962342,12.9651,0.06622887588809996
36,16.0983,0.1367478633146357,11.9656,0.113725901604216,12.7422,0.07000560259103095
37,16.0147,0.13837283792440744,11.8947,0.11580622624200068,12.7422,0.07000560259103095
38,15.9162,0.14090628048222462,11.9021,0.11654728609151196,12.5869,0.07292519982946695
39,15.8277,0.1430558004674034,11.8517,0.1179802994149645,12.4082,0.07681353193142071
40,15.762,0.1441093554341785,11.8119,0.11949366862571344,12.4082,0.07681353193142071
41,15.6118,0.1474106431372724,11.6709,0.12140435305698348,12.2557,0.08089828953565457
42,15.561,0.14892401234802136,11.6788,0.12188648838076191,12.2557,0.08089828953565457
43,15.4747,0.15060702176528493,11.547,0.12363646103743915,12.137,0.0841192213514521
44,15.3575,0.15354001165160366,11.5076,0.1261721357032368,12.0022,0.08912360744363369
45,15.2795,0.15498641762293894,11.429,0.12690873133678715,12.0022,0.08912360744363369
46,15.1631,0.1576448582276616,11.4226,0.12753372157131473,11.8939,0.09277310399167871
47,15.0948,0.1588546607530686,11.3287,0.13010064574883876,11.7882,0.09672393511708523
48,15.0201,0.1607363277805927,11.33,0.13133276935405028,11.7882,0.09672393511708523
49,14.9354,0.16384565419736746,11.2839,0.13266756992636275,11.7033,0.10070601575421813
50,14.8804,0.16469162312196015,11.2417,0.13365862586968508,11.7033,0.10070601575421813
51,14.8051,0.1656000910700056,11.1941,0.13530145734330043,11.6116,0.10536665721740955
52,14.7057,0.1687317385665849,11.187,0.1356050240286424,11.5217,0.11110540683516106
53,14.6339,0.17076518893678,11.1539,0.1373817819810851,11.5217,0.11110540683516106
